Title,Authors,Year,DOI,PubMed IDs,Full Authors
A high performance system for molecular dynamics simulation of biomolecules using a special-purpose computer.,"Y. Komeiji, H. Yokoyama, M. Uebayasi, M. Taiji, T. Fukushige, D. Sugimoto, R.Takata, A Shimizu and K. Itsukashi",1996,,9390252,"{6701563580: 'Yuto Komeiji', 57203030954: 'H. Yokoyama', 6603883981: 'Masami Uebayasi', 7003890233: 'Makoto Taiji', 7005365711: 'Toshiyuki Fukushige', 7004635444: 'Daiichiro Sugimoto', 7006818555: 'R. Takata', 55704794200: 'A. Shimizu', 6504209140: 'K. Itsukashi'}"
Correlating structure-dependent mutation matrices with physical-chemical properties.,"J. M. Koshi and R. A. Goldstein,",1996,,9390253,"{6603321737: 'Jeffrey M. Koshi', 7403005698: 'Richard A. Goldstein'}"
A case study where biology inspired a solution to a computer science problem.,John R. Koza and David Andre,1996,,9390254,"{7004495925: 'John R. Koza', 7006780655: 'David Andre'}"
Protein phylogenetic inference using maximum likelihood with a genetic algorithm.,H. Matsuda,1996,,9390255,{35381793100: 'Hideo Matsuda'}
Ab initio calculations of free energy barriers for chemical reactions in solution: proton transfer in [FHF]-.,Richard P. Muller and Arieh Warshel,1996,,9390256,"{57214662788: 'Richard P. Muller', 7006840601: 'Arieh W. Warshel'}"
Mixed quantum mechanical/molecular mechanical simulations of chemical reactions in solution and in enzymes by the classical trajectory mapping approach.,"Jiann-Jong Pan and Jenn-Kang Hwang,",1996,,9390257,"{7404099063: 'Jiannjong Pan', 7403896779: 'Joonsung Khing Hwang'}"
Molecular modeling of protocellular functions.,"Andrew Pohorille, Christophe Chipot, Michael H. New, and Michael A. Wilson",1996,,9390258,"{7006044651: 'Andrew Pohorille', 7003715790: 'Christophe J. Chipot', 35952179500: 'Michael H. New', 57203348993: 'Michael A. Wilson'}"
"Analysis, clustering and prediction of the conformation of short and medium size loops connecting regular secondary structures.","Stephen D. Rufino, Luis E. Donate, Luc Canard, and Tom L. Blundell",1996,,9390259,"{6603424762: 'Stephen D. Rufino', 6603825649: 'Luis Enrique Donate', 16946021100: 'Luc H.J. Canard', 36042209300: 'Tom L. Blundell'}"
Computational biology instruction at the University of Washington Center for Bioengineering.,E. Swanson and T. P. Lybrand,1996,,9390260,"{57215510384: 'Eric Swanson', 7004320407: 'Terry P. Lybrand'}"
A greedy strategy for finding motifs from yes-no examples.,Erika Tateishi and Satoru Miyano,1996,,9390261,"{6602409191: 'Erika Tateishi', 7102554029: 'Satoru Miyano'}"
Statistical geometry analysis of proteins: implications for inverted structure prediction.,"A. Tropsha, R. K. Singh, I. I. Vaisman and W. Zheng",1996,,9390262,"{35459284800: 'Alexander E. Tropsha', 57219456056: 'Rajesh Kumar P. Singh', 7005567042: 'Iosif I. Vaisman', 7403565981: 'Weifan Zheng'}"
"Determination of proton transfer rate constants using Ab initio, molecular dynamics and density matrix evolution calculations.",David Van Der Spoel and Herman J.C. Berendsen,1996,,9390263,"{6701493490: 'David van der Spoel', 7102172537: 'Herman J.C. Berendsen'}"
Empirical free energy calculations of human immunodeficiency virus type 1 protease crystallographic complexes. II. Knowledge-based ligand-protein interaction potentials applied to thermodynamic analysis of hydrophobic mutations.,Gennady Verkhivker,1996,,9390264,{7003472684: 'Gennady M. Verkhivker'}
Prediction of the quaternary structure of coiled coils: GCN4 leucine zipper and its mutants.,"Michal Vieth, Andrzej Kolinski, Charles L. Brooks, III, and Jeffrey Skolnick",1996,,9390265,"{56265781700: 'Michal Vieth', 7006356760: 'Andrzej Koliński', 36861599500: 'Charles Lee Brooks', 7103056580: 'Jeffrey Skolnick’'}"
3D molecular graphics on the World Wide Web.,H. Vollhardt and J. Brickmann,1996,,9390266,"{24300034400: 'Horst Vollhardt', 7005379681: 'Jürgen A.W. Brickmann'}"
Motif identification neural design for rapid and sensitive protein family search.,"Cathy H. Wu, Hsi-Lien Chen, Chin-Ju Lo and Jerry W. McLarty",1996,,9390267,"{58071565800: 'Cathy H. Wu', 7501609802: 'Hsi Lien Chen', 7401771498: 'Chinju Lo', 7004223524: 'Jerry W. McLarty'}"
Extraction of hidden Markov model representations of signal patterns in DNA sequences.,"Tetsushi Yada, Masato Ishikawa, Hidetoshi Tanaka and Kiyoshi Asai",1996,,9390268,"{35350789500: 'Tetsushi Yada', 56309690700: 'Masato Ishikawa', 15075477700: 'Hirokazu Tanaka', 7202856244: 'Kiyoshi Asai'}"
Computer simulations of prebiotic evolution.,"V.I. Abkevich, A.M. Gutin and E.I. Shakhnovich",1997,,9390277,"{16737785100: 'Victor I. Abkevich', 35429958300: 'Alexander M. Gutin', 35600851100: 'Eugene I. Shakhnovich'}"
Ubiquitous distributed objects with CORBA.,F. Achard and E. Barillot,1997,,9390278,"{7004609955: 'Frédéric Achard', 56273574000: 'Emmanuel Barillot'}"
Towards a density functional treatment of chemical reactions in complex media.,"D.R. Berard, D. Wei and D.R. Salahub",1997,,9390279,"{57225335311: 'D. R. Berard', 7202909038: 'Dongqing Wei', 7005147098: 'Dennis Russell Salahub'}"
Combinatorial tools for the analysis of transcriptional regulation.,"A. Bergeron, E. Gaul and D. Bergeron",1997,,9390280,"{56376058200: 'Anne Bergeron', 6602740559: 'E. Gaul', 57197583904: 'D. Bergeron'}"
The generalization method of relationships among nucleotide sequences reveals an order in assimilation of amino acid codons during the isoacceptor tRNAs evolution.,M.B. Chaley and E.V. Korotkov,1997,,9390281,"{6602769752: 'Maria B. Chaley', 7004275162: 'Eugene V. Korotkov'}"
Using Tcl for molecular visualization and analysis.,A. Dalke and K Schulten,1997,,9390282,"{6507681885: 'Andrew Dalke', 7102415947: 'Klaus Schulten'}"
On some operations suggested by genome evolution.,J. Dassow and V. Mitrana,1997,,9390283,"{55756757900: 'Jürgen Dassow', 7003479109: 'Victor Mitrana'}"
The inverse protein folding problem: self consistent mean field optimisation of a structure specific mutation matrix.,M. Delarue and P. Koehl,1997,,9390284,"{57206138878: 'Marc Delarue', 7003327102: 'Patrice Koehl'}"
Theoretical and algorithmical optimization of the dead-end elimination theorem.,"J. Desmet, M. De Maeyer and I. Lasters",1997,,9390285,"{7004429749: 'Johan Desmet', 57223054727: 'Marc C.H. de Maeyer', 7003749975: 'Ignace Lasters'}"
Using views for retrieving data from extremely heterogeneous databanks.,T. Etzold and G. Verde,1997,,9390286,"{6602606213: 'Thure Etzold', 19436904000: 'G. Verde'}"
Length scales of lipid dynamics and molecular dynamics.,S.E. Feller and R.W. Pastor,1997,,9390287,"{57208461863: 'Scott E. Feller', 7005761292: 'Richard W. Pastor'}"
Specific modelling of regulatory units in DNA sequences.,K. Frech and T. Werner,1997,,9390288,"{6701598763: 'Kornelie Frech', 7103151350: 'Thomas Werner'}"
Test tube systems with cutting/recombination operations.,"R. Freund, E. Csuhaj-Varjú and F. Wachtler",1997,,9390289,"{7101629410: 'Rudolf Freund', 7003395443: 'Erzsébet Csuhaj-Varjú', 7005551634: 'Franz J. Wachtler'}"
Organizing and computing metabolic pathway data in terms of binary relations.,"S. Goto, H. Bono, H. Ogata, W. Fujibuchi, T. Nishioka, K. Sato and M. Kanehisa",1997,,9390290,"{36813899000: 'Susumu Goto', 7004455274: 'Hidemasa U. Bono', 7202919260: 'Hiroyuki Ogata', 6602654501: 'Wataru Fujibuchi', 7201616718: 'Takaaki Nishioka', 55495608200: 'Kazushige Sato', 35397669200: 'Minoru I. Kanehisa'}"
Development of a cell signaling networks database.,T. Igarashi and T. Kaminuma,1997,,9390291,"{57205986744: 'T. Igarashi', 57197618943: 'Tsuguchika Kaminuma'}"
"The native sequence determines sidechain packing in a protein, but does optimal sidechain packing determine the native sequence?",P. Koehl and M. Delarue,1997,,9390292,"{7003327102: 'Patrice Koehl', 57206138878: 'Marc Delarue'}"
Design of hydrophobic core of E. coli malate dehydrogenase based on the side-chain packing.,"H. Kono, M. Nishiyama, M. Tanokura and J. Doi",1997,,9390293,"{7102807611: 'Hidetoshi Kono', 7201889644: 'Makoto Nishiyama', 7006624010: 'Masaru Tanokura', 59091738700: 'J. Doi'}"
Latent periodicity of DNA sequences of many genes.,E.V. Korotkov and D.A. Phoenix,1997,,9390294,"{7004275162: 'Eugene V. Korotkov', 7004764407: 'David Andrew Phoenix'}"
Integrating database homology in a probabilistic gene structure model.,"D. Kulp, D. Haussler, M.G. Reese and F.H. Eeckman",1997,,9390295,"{6701649429: 'David C. Kulp', 7006637893: 'David H. Haussler', 7004951924: 'Martin G. Reese', 6602200002: 'Frank H.Ph D. Eeckman'}"
Packing as a structural basis of protein stability: understanding mutant properties from wildtype structure.,C. Lee and M. Levitt,1997,,9390296,"{57196253579: 'Christopher S.Y. Lee', 35599897600: 'Michael D. Levitt'}"
Facilities for exploring molecular biology databases on the Web: a comparative study.,"V.M. Markowitz, I-M.A. Chen, A.S. Kosky and E. Szeto",1997,,9390297,"{35320176400: 'Victor M. Markowitz', 7402043424: 'I. Min Amy Chen', 6603118525: 'Anthony S. Kosky', 6603826282: 'Ernest Szeto'}"
Towards a bacteriorhodopsin-silicon neuromorphic photosensor.,"C.H. Martin, Z.P. Chen and R.R. Birge",1997,,9390298,"{7405842800: 'Charles H. Martin', 7409482950: 'Zhongping Chen', 7006304073: 'Robert R. Birge'}"
An approach to detection of protein structural motifs using an encoding scheme of backbone conformations.,"H. Matsuda, F. Taniguchi and A. Hashimoto",1997,,9390299,"{35381793100: 'Hideo Matsuda', 7003929124: 'F. Taniguchi', 36889092500: 'Akihiro Hashimoto'}"
An algorithm to assemble pathways from processes.,J.E. Mittenthal,1997,,9390300,{7004012160: 'Jay Edward Mittenthal'}
Toward a virtual-labo-system for metabolic engineering: development of biochemical engineering system analyzing tool-kit (BEST-KIT).,"M. Okamoto, Y. Morita, D. Tominaga, K. Tanaka, N. Kinoshita, J-I. Ueno, Y. Miura, Y. Maki and Y. Eguchi",1997,,9390301,"{7402810538: 'Masahiro Okamoto', 7402316554: 'Yoshimitsu Morita', 57189078708: 'Daisuke Tominaga', 55741487100: 'Kouji Tanaka', 36829809000: 'Noriaki Kinoshita', 7003362692: 'Junichi Ueno', 35596972500: 'Yuichi Miura', 57531452000: 'Yukihiro Maki', 7103311444: 'Yukihiro Eguchi'}"
Method for low resolution prediction of small protein tertiary structure.,"A.R. Ortiz, W.P. Hu, A. Kolinski and J. Skolnick",1997,,9390302,"{35562471800: 'Ángel R. Ortíz', 7404359454: 'Weiping Hu', 7006356760: 'Andrzej Koliński', 7103056580: 'Jeffrey Skolnick’'}"
Multiple model approach--dealing with alignment ambiguities in protein modeling.,"K. Pawlowski, Jaroszewski, A. Bierzynski and A. Godzik",1997,,9390303,"{35613244700: 'Krzysztof Pawłowski', 7004117657: 'Łukasz Jaroszewski', 6701438713: 'Andrzej Bierzyǹski', 7007144993: 'Adam Godzik'}"
Search for DNA conformational features for functional sites. Investigation of the TATA box.,"M.P. Ponomarenko, J.V. Ponomarenko, A.E. Kel and N.A. Kolchanov",1997,,9390304,"{7003360628: 'M. P. Ponomarenko', 57193495035: 'Julia V. Ponomarenko', 7004025230: 'Alexander E. Kel', 35444766700: 'Nikolay A. Kolchanov'}"
Algorithmic complexity of growth hormone release in humans.,"K. Prank, M. Wagner and G. Brabant",1997,,9390305,"{7003651504: 'Klaus Prank', 57199121245: 'M. Wagner', 7101947649: 'Georg E. Brabant'}"
Exploring the fitness landscapes of lattice proteins.,A. Renner and E. Bornberg-Bauer,1997,,9390306,"{57197319090: 'A. Renner', 6603818279: 'Erich G. Bornberg-Bauer'}"
Accurate mean-force pairwise-residue potentials for discrimination of protein folds.,"B.A. Reva, A.V. Finkelstein, M.F. Sanner and A.J. Olson",1997,,9390307,"{6603752154: 'Boris A. Reva', 56586587700: 'A. V. Finkelstein', 7003701160: 'Michel F. Sanner', 7102256591: 'Arthur J. Olson'}"
Real time surface reconstruction for moving molecular fragments.,M.F. Sanner and A.J. Olson,1997,,9390308,"{7003701160: 'Michel F. Sanner', 7102256591: 'Arthur J. Olson'}"
Finding association rules on heterogeneous genome data.,"K. Satou, G. Shibayama, T. Ono, Y. Yamamura, E. Furuichi, S. Kuhara and T. Takagi",1997,,9390309,"{7004982766: 'Kenji Satou', 6507044463: 'G. Shibayama', 7403946490: 'Toshihide Ono', 7201947391: 'Yuichi Yamamura', 6602449071: 'Emiko Furuichi', 7004997564: 'Satoru Kuhara', 7403554330: 'Toshihisa Takagi'}"
Enumerating suboptimal alignments of multiple biological sequences efficiently.,T. Shibuya and H. Imai,1997,,9390310,"{35622510400: 'Tetsuo Shibuya', 36348118200: 'Hiroshi Imai'}"
Redox properties of cytochrome c: novel linear response and hybrid continuum-microscopic methodologies.,T. Simonson,1997,,9390311,{7006470710: 'Thomas Simonson'}
Protein superfamily members as targets for computer modeling: the carbohydrate recognition domain of a macrophage lectin.,"R.E. Stenkamp, A. Aruffo and J. Bajorath",1997,,9390312,"{7005347183: 'Ronald Eugene Stenkamp', 7101940156: 'Alejandro A. Aruffo', 7101742328: 'Jürgen Bajorath'}"
Definite-clause grammars for the analysis of cis-regulatory regions in E. coli.,"D. Thieffry, D.A. Rosenblueth, A.M. Huerta, H. Salgado and J. Collado-Vides",1997,,9390313,"{55874905800: 'Denis Thieffry', 6603485343: 'David A. Rosenblueth', 7004611275: 'Araceli M. Huerta', 7006032034: 'Heladia Salgado', 7004041493: 'Julio Collado-Vides'}"
Enumeration of flux routes through complex biochemical reactions.,J. Wagg and P. Sellers,1997,,9390314,"{6603597471: 'Jonathan Wagg', 7005123780: 'Peter H. Sellers'}"
Using the radial distributions of physical features to compare amino acid environments and align amino acid sequences.,"L. Wei, R.B. Altman and J.T. Chang",1997,,9390315,"{7402950829: 'Li Ping Wei', 7202798518: 'Russ B. Altman', 15768851500: 'Jeffrey T. Chang'}"
TRANSFAC database as a bridge between sequence data libraries and biological function.,"E. Wingender, H. Karas and R. Knuppel",1997,,9390316,"{56091170100: 'Edgar Wingender', 6601996367: 'Holger Karas', 7005948683: 'Rainer Knüppel'}"
A new approach to protein fold recognition based on Delaunay tessellation of protein structure.,"W. Zheng, S.J. Cho, I.I. Vaisman and A. Tropsha",1997,,9390317,"{7403565981: 'Weifan Zheng', 7404885276: 'Sung-jin Cho', 7005567042: 'Iosif I. Vaisman', 35459284800: 'Alexander E. Tropsha'}"
Automated assay of gene expression at cellular resolution.,"D. Kosman, J. Reinitz and D.H. Sharp",1998,,9697167,"{7004268523: 'David Kosman', 6701506023: 'John Reinitz', 7202296934: 'David H. Sharp'}"
"Reveal, a general reverse engineering algorithm for inference of genetic network architectures.","S. Liang, S. Fuhrman and R. Somogyi",1998,,9697168,"{7402146781: 'Shoudan Liang', 7004369766: 'Stefanie Fuhrman', 7004100412: 'Roland Somogyi'}"
A gene network approach to modeling early neurogenesis in Drosophila.,G. Marnellos and E. Mjolsness,1998,,9697169,"{57216021001: 'George Marnellos', 56822278400: 'Eric D. Mjolsness'}"
Cluster analysis and data visualization of large-scale gene expression data.,"G.S. Michaels, D.B. Carr, M. Askenazi, S. Fuhrman, X. Wen and R. Somogyi",1998,,9697170,"{24344425900: 'George S. Michaels', 57191258140: 'Daniel B. Carr', 35344685600: 'Manor Askenazi', 7004369766: 'Stefanie Fuhrman', 58464352800: 'X. Wen', 7004100412: 'Roland Somogyi'}"
Rules for the evolution of gene circuitry.,M.A. Savageau,1998,,9697171,{7005555627: 'Michael A. Savageau'}
"Modeling the normal and neoplastic cell cycle with ""realistic Boolean genetic networks"": their application for understanding carcinogenesis and assessing therapeutic strategies.",Z. Szallasi and S. Liang,1998,,9697172,"{57203030767: 'Zoltán Szállási', 7402146781: 'Shoudan Liang'}"
Qualitative analysis of gene networks.,D. Thieffry and R. Thomas,1998,,9697173,"{55874905800: 'Denis Thieffry', 8955682500: 'René S. Thomas'}"
Genomic regulation modeled as a network with basins of attraction.,A. Wuensche,1998,,9697174,{55979792500: 'Andrew Wuensche'}
DINAMO: a coupled sequence alignment editor/molecular graphics tool for interactive homology modeling of proteins.,"M. Hansen, J. Bentz, A. Baucom and L. Gregoret",1998,,9697175,"{56925943500: 'Marc D. Hansen', 19633806900: 'Jesse Bentz', 6506677395: 'Albion E. Baucom', 6701547677: 'Lydia M. Gregoret'}"
A prototype molecular interactive collaborative environment (MICE).,"P. Bourne, M. Gribskov, G. Johnson, J. Moreland, S. Wavra and H. Weissig",1998,,9697176,"{35458582500: 'Philip E. Bourne', 7003537392: 'Michael R. Gribskov', 57028780800: 'Gregory S. Johnson', 7102437761: 'John L. Moreland', 6504479109: 'S. Wavra', 6602130842: 'Helge Weissig'}"
Reusable graphical interface to genome information resources.,A. Grigoriev,1998,,9697177,{7005524123: 'Andrey V. Grigoriev'}
Visualization based on the Enzyme Commission nomenclature.,I. Shah and L. Hunter,1998,,9697178,"{57196901685: 'Imran Shah', 57689685500: 'Lawrence E. Hunter'}"
Wavelet-assisted volume ray casting.,T. He,1998,,9697179,{7202512900: 'Taosong He'}
Visualizing nerve cells with VolVis.,A. Kaufman,1998,,9697180,{57197926443: 'A. Kaufman'}
A virtual laboratory notebook for simulation models.,A.J. Winfield,1998,,9697181,{19638208500: 'A. J. Winfield'}
MAVIS: an interactive visualization tool for computational chemistry calculations in a distributed networked environment.,"C.I. Parkinson, M.D. Cooper, W.T. Hewitt and I.H. Hillier",1998,,9697182,"{57197259894: 'C. I. Parkinson', 57213477642: 'Matthew D. Cooper', 7005770319: 'William Terry Hewitt', 7004402709: 'Ian H. Hillier'}"
A high-throughput graphics library designed for a portable molecular structure viewer.,Y. Ueno and K. Asai,1998,,9697183,"{59122089600: 'Y. Ueno', 7202856244: 'Kiyoshi Asai'}"
An editing environment for DNA sequence analysis and annotation (extended abstract).,"E.C. Uberbacher, Y. Xu, M.B. Shah, V. Olman, M. Parang and R.J. Mural",1998,,9697184,"{7003992856: 'Edward C. Uberbacher', 36922188800: 'Ying Xu', 7402047378: 'Manesh B. Shah', 6602140661: 'Victor N. Olman', 6701547797: 'Morey Parang', 7003349003: 'Richard J. Mural'}"
Recognition of human genes by stochastic parsing.,"K. Asai, K. Itou, Y. Ueno and T. Yada",1998,,9697185,"{7202856244: 'Kiyoshi Asai', 8855763800: 'Katunobu Itou', 59122089600: 'Y. Ueno', 35350789500: 'Tetsushi Yada'}"
A discrimination study of human core-promoters.,M.Q. Zhang,1998,,9697186,{55909042200: 'Michael Q. Zhang'}
Automatic extraction of position specific cooccurrence of transcription factor bindings on promoters.,T. Tsunoda and T. Takagi,1998,,9697187,"{7203020452: 'Tatsuhiko Tsunoda', 7403554330: 'Toshihisa Takagi'}"
"A computational ""genome walk"" technique to identify regulatory interactions in gene networks.",A. Wagner,1998,,9697188,{57203495887: 'Andreas Wagner'}
Deriving ribosomal binding site (RBS) statistical models from unannotated DNA sequences and the use of the RBS model for N-terminal prediction.,W.S. Hayes and M. Borodovsky,1998,,9697189,"{7202648867: 'William S. Hayes', 7004083753: 'Mark Yu Borodovsky'}"
The GAIA software framework for genome annotation.,"G.C. Overton, C. Bailey, J. Crabtree, M. Gibson, S. Fischer and J. Schug",1998,,9697190,"{7003613915: 'G. Christian Overton', 57207235069: 'C. Bailey', 56808150200: 'Jonathan D. Crabtree', 57208011150: 'Mark Gibson', 7402171537: 'Steve Fischer', 35424576300: 'Jonathan Schug'}"
Focus-2D: a new approach to the design of targeted combinatorial chemical libraries.,"S.J. Cho, W. Zheng and A. Tropsha",1998,,9697191,"{7404885276: 'Sung-jin Cho', 7403565981: 'Weifan Zheng', 35459284800: 'Alexander E. Tropsha'}"
Surface solid angle-based site points for molecular docking.,D.K. Hendrix and I.D. Kuntz,1998,,9697192,"{7006009949: 'Donna K. Hendrix', 7005315085: 'Irwin D. Kuntz'}"
Molecular modeling information transfer with VRML: from small molecules to large systems in bioscience.,"G. Moeckel, M. Keil, T. Exner and J. Brickmann",1998,,9697193,"{6701643584: 'Gerd Moeckel', 57218886820: 'Matthias Keil', 35591617400: 'Thomas E. Exner', 7005379681: 'Jürgen A.W. Brickmann'}"
Empirical free energy calculations of phage 434 repressor- and cro-DNA complexes support the 'indirect readout' hypothesis of specificity.,"L.M. Brown, R.E. Bruccoleri and J. Novotny",1998,,9697194,"{55469609300: 'Lawrence M. Brown', 7004396918: 'Robert E. Bruccoleri', 7202755698: 'Jiří Novotný'}"
The object technology framework: an object-oriented interface to molecular data and its application to collagen.,"C.C. Huang, G.S. Couch, E.F. Pettersen, T.E. Ferrin, A.E. Howard and T.E. Klein",1998,,9697195,"{7406883219: 'Conrad C. Huang', 6603815815: 'Gregory S. Couch', 7005970643: 'Eric F. Pettersen', 6603947110: 'Thomas E. Ferrin', 57641870600: 'A. E. Howard', 7202313665: 'Teri E. Klein'}"
Molecular anchors with large stability gaps ensure linear binding free energy relationships for hydrophobic substituents.,P.A. Rejto and G.M. Verkhivker,1998,,9697196,"{6701572946: 'Paul A. Rejto', 7003472684: 'Gennady M. Verkhivker'}"
